step,bee,action,claim_slot,claim_flower,battery_pct,load,status
1,0,0,0,-1,65.7,0.00,IDLE-SILENT
1,1,0,0,-1,81.0,0.00,IDLE-SILENT
1,2,0,0,-1,71.2,0.00,IDLE-SILENT
1,3,1,0,-1,44.6,7.50,OK
1,4,0,0,-1,65.6,0.00,IDLE-SILENT
2,0,0,,,65.6,0.00,IDLE-SILENT
2,1,0,0,-1,80.9,0.00,IDLE-SILENT
2,2,0,0,-1,71.1,0.00,IDLE-SILENT
2,3,0,0,-1,44.5,7.50,OK
2,4,0,0,-1,65.5,0.00,IDLE-SILENT
3,0,0,0,-1,65.5,0.00,IDLE-SILENT
3,1,0,,,80.8,0.00,IDLE-SILENT
3,2,0,0,-1,71.0,0.00,IDLE-SILENT
3,3,0,0,-1,44.4,7.50,OK
3,4,0,0,-1,65.4,0.00,IDLE-SILENT
4,0,0,,,65.4,0.00,IDLE-SILENT
4,1,0,,,80.7,0.00,IDLE-SILENT
4,2,0,0,-1,70.9,0.00,IDLE-SILENT
4,3,0,0,-1,44.3,7.50,OK
4,4,1,0,-1,65.3,6.67,OK
5,0,0,0,-1,65.3,0.00,IDLE-SILENT
5,1,0,,,80.6,0.00,IDLE-SILENT
5,2,0,0,-1,70.8,0.00,IDLE-SILENT
5,3,0,0,-1,44.2,7.50,OK
5,4,0,1,-1,65.2,6.67,OK
6,0,0,,,65.2,0.00,IDLE-SILENT
6,1,0,0,-1,80.5,0.00,IDLE-SILENT
6,2,0,0,-1,70.7,0.00,IDLE-SILENT
6,3,0,0,-1,44.1,7.50,OK
6,4,0,0,-1,65.1,6.67,OK
7,0,0,0,-1,65.1,0.00,IDLE-SILENT
7,1,0,,,80.4,0.00,IDLE-SILENT
7,2,0,0,-1,70.6,0.00,IDLE-SILENT
7,3,0,0,-1,44.0,7.50,OK
7,4,0,1,-1,65.0,6.67,OK
8,0,1,0,-1,65.0,5.83,OK
8,1,0,0,-1,80.3,0.00,IDLE-SILENT
